wmproductId,MÃ NỘI BỘ,product name,"LOẠI 
SIM","GIÁ 
PEE"
WM-e-SM-2GB-23D,WM-e-SM-2GB-23D+1,"Singapore, Malaysia, 23 Days, 2GB /day, 128kbps",ESIM,766000
WM-e-SM-3GB-23D,WM-e-SM-3GB-23D+1,"Singapore, Malaysia, 23 Days, 3GB /day, 128kbps",ESIM,1064000
WM-e-SM-MAX-23D,WM-e-SM-MAX-23D+1,"Singapore, Malaysia, 23 Days, Unlimited data /day",ESIM,1585000
WM-e-SM-10MAX-23D,WM-e-SM-10MAX-23D+1,"Singapore, Malaysia, 23 Days, Premium unlimited data/day",ESIM,1697000
WM-e-SM-500MB-24D,WM-e-SM-500MB-24D+1,"Singapore, Malaysia, 24 Days, 500MB /day, 128kbps",ESIM,342000
WM-e-SM-1GB-24D,WM-e-SM-1GB-24D+1,"Singapore, Malaysia, 24 Days, 1GB /day, 128kbps",ESIM,455000
WM-e-SM-2GB-24D,WM-e-SM-2GB-24D+1,"Singapore, Malaysia, 24 Days, 2GB /day, 128kbps",ESIM,783000
WM-e-SM-3GB-24D,WM-e-SM-3GB-24D+1,"Singapore, Malaysia, 24 Days, 3GB /day, 128kbps",ESIM,1080000
WM-e-SM-MAX-24D,WM-e-SM-MAX-24D+1,"Singapore, Malaysia, 24 Days, Unlimited data /day",ESIM,1603000
WM-e-SM-10MAX-24D,WM-e-SM-10MAX-24D+1,"Singapore, Malaysia, 24 Days, Premium unlimited data/day",ESIM,1730000
WM-e-SM-500MB-25D,WM-e-SM-500MB-25D+1,"Singapore, Malaysia, 25 Days, 500MB /day, 128kbps",ESIM,351000
WM-e-SM-1GB-25D,WM-e-SM-1GB-25D+1,"Singapore, Malaysia, 25 Days, 1GB /day, 128kbps",ESIM,463000
WM-e-SM-2GB-25D,WM-e-SM-2GB-25D+1,"Singapore, Malaysia, 25 Days, 2GB /day, 128kbps",ESIM,798000
WM-e-SM-3GB-25D,WM-e-SM-3GB-25D+1,"Singapore, Malaysia, 25 Days, 3GB /day, 128kbps",ESIM,1097000
WM-e-SM-MAX-25D,WM-e-SM-MAX-25D+1,"Singapore, Malaysia, 25 Days, Unlimited data /day",ESIM,1620000
WM-e-SM-10MAX-25D,WM-e-SM-10MAX-25D+1,"Singapore, Malaysia, 25 Days, Premium unlimited data/day",ESIM,1764000
WM-e-SM-500MB-26D,WM-e-SM-500MB-26D+1,"Singapore, Malaysia, 26 Days, 500MB /day, 128kbps",ESIM,358000
WM-e-SM-1GB-26D,WM-e-SM-1GB-26D+1,"Singapore, Malaysia, 26 Days, 1GB /day, 128kbps",ESIM,470000
WM-e-SM-2GB-26D,WM-e-SM-2GB-26D+1,"Singapore, Malaysia, 26 Days, 2GB /day, 128kbps",ESIM,816000
WM-e-SM-3GB-26D,WM-e-SM-3GB-26D+1,"Singapore, Malaysia, 26 Days, 3GB /day, 128kbps",ESIM,1114000
WM-e-SM-MAX-26D,WM-e-SM-MAX-26D+1,"Singapore, Malaysia, 26 Days, Unlimited data /day",ESIM,1637000
WM-e-SM-10MAX-26D,WM-e-SM-10MAX-26D+1,"Singapore, Malaysia, 26 Days, Premium unlimited data/day",ESIM,1797000
WM-e-SM-500MB-27D,WM-e-SM-500MB-27D+1,"Singapore, Malaysia, 27 Days, 500MB /day, 128kbps",ESIM,367000
WM-e-SM-1GB-27D,WM-e-SM-1GB-27D+1,"Singapore, Malaysia, 27 Days, 1GB /day, 128kbps",ESIM,480000
WM-e-SM-2GB-27D,WM-e-SM-2GB-27D+1,"Singapore, Malaysia, 27 Days, 2GB /day, 128kbps",ESIM,832000
WM-e-SM-3GB-27D,WM-e-SM-3GB-27D+1,"Singapore, Malaysia, 27 Days, 3GB /day, 128kbps",ESIM,1131000
WM-e-SM-MAX-27D,WM-e-SM-MAX-27D+1,"Singapore, Malaysia, 27 Days, Unlimited data /day",ESIM,1654000
WM-e-SM-10MAX-27D,WM-e-SM-10MAX-27D+1,"Singapore, Malaysia, 27 Days, Premium unlimited data/day",ESIM,1831000
WM-e-SM-500MB-28D,WM-e-SM-500MB-28D+1,"Singapore, Malaysia, 28 Days, 500MB /day, 128kbps",ESIM,376000
WM-e-SM-1GB-28D,WM-e-SM-1GB-28D+1,"Singapore, Malaysia, 28 Days, 1GB /day, 128kbps",ESIM,487000
WM-e-SM-2GB-28D,WM-e-SM-2GB-28D+1,"Singapore, Malaysia, 28 Days, 2GB /day, 128kbps",ESIM,849000
WM-e-SM-3GB-28D,WM-e-SM-3GB-28D+1,"Singapore, Malaysia, 28 Days, 3GB /day, 128kbps",ESIM,1146000
